FIPS_code,State,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P1_CV_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P2_CI_L_indicator,Lit_P2_CV_indicator,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_CV_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P1_CV_indicator,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P2_CI_L_indicator,Num_P2_CV_indicator,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_CI_L_indicator,Num_P3_CV_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance,Region
15,Hawaii,all,0.159,0.122,0.197,0.119,,,0.31,0.26,0.361,0.082,,,0.531,0.485,0.579,0.044,,270.3,262.9,277.2,0.013,0.234,0.191,0.277,0.092,,0.341,0.288,0.395,0.079,,,0.425,0.372,0.477,0.062,,,258.9,251.3,266.6,0.015,1421658.0,1041460,0.502,0.498,0.251,0.018,0.102,0.38,0.002,0.1,0.248,0.084,0.278,0.639,0.185,0.027,0.081,0.073,0.181,0.103,0.165,0.114,0.687,0.037,0.232,0.333,0.218,0.239,0.095,0.033,0.083,0.046,Far West
16,Idaho,all,0.164,0.13,0.198,0.103,,,0.342,0.295,0.395,0.074,,,0.494,0.443,0.537,0.048,,269.8,262.8,276.4,0.013,0.257,0.221,0.298,0.075,,0.351,0.303,0.398,0.069,,,0.393,0.343,0.439,0.061,,,256.4,249.0,263.6,0.014,1657375.0,1174970,0.501,0.499,0.91,0.007,0.122,0.014,0.013,0.001,0.055,0.098,0.274,0.628,0.197,0.01,0.031,0.018,0.059,0.145,0.252,0.113,0.692,0.04,0.265,0.342,0.177,0.235,0.118,0.002,0.126,0.121,Rocky Mountains
17,Illinois,all,0.204,0.18,0.225,0.056,,,0.315,0.283,0.347,0.051,,,0.481,0.452,0.511,0.03,,265.6,261.6,269.6,0.008,0.301,0.275,0.327,0.043,,0.313,0.28,0.346,0.053,,,0.386,0.354,0.418,0.041,,,251.5,247.1,255.8,0.009,12854526.0,9435425,0.491,0.509,0.719,0.143,0.168,0.052,0.002,0.0,0.084,0.114,0.263,0.622,0.191,0.018,0.075,0.047,0.14,0.135,0.219,0.133,0.7,0.057,0.241,0.376,0.172,0.24,0.072,0.002,0.139,0.085,Great Lakes
18,Indiana,all,0.187,0.16,0.211,0.069,,,0.371,0.335,0.405,0.048,,,0.442,0.413,0.475,0.035,,266.3,261.9,271.2,0.009,0.295,0.264,0.323,0.05,,0.369,0.331,0.405,0.05,,,0.336,0.304,0.372,0.05,,,251.5,246.8,256.7,0.01,6614418.0,4805570,0.493,0.507,0.839,0.093,0.067,0.021,0.002,0.0,0.045,0.117,0.338,0.546,0.179,0.012,0.028,0.011,0.05,0.146,0.238,0.115,0.698,0.046,0.255,0.333,0.166,0.227,0.088,0.001,0.185,0.103,Great Lakes
19,Iowa,all,0.149,0.12,0.178,0.097,,,0.337,0.297,0.376,0.058,,,0.514,0.48,0.553,0.034,,273.5,268.4,279.4,0.01,0.23,0.195,0.26,0.07,,0.364,0.322,0.405,0.057,,,0.406,0.369,0.447,0.049,,,261.1,255.6,267.3,0.011,3118102.0,2238920,0.496,0.504,0.906,0.034,0.057,0.023,0.003,0.001,0.033,0.082,0.315,0.603,0.208,0.013,0.027,0.01,0.05,0.12,0.204,0.112,0.765,0.034,0.2,0.354,0.164,0.227,0.095,0.0,0.16,0.056,Plains
20,Kansas,all,0.169,0.144,0.2,0.081,,,0.305,0.266,0.341,0.061,,,0.526,0.494,0.56,0.032,,271.3,265.9,276.4,0.01,0.25,0.221,0.279,0.058,,0.333,0.296,0.371,0.055,,,0.417,0.382,0.454,0.043,,,258.1,252.1,263.4,0.011,2903820.0,2074200,0.498,0.502,0.849,0.058,0.115,0.028,0.008,0.001,0.056,0.095,0.262,0.643,0.19,0.013,0.04,0.017,0.07,0.128,0.216,0.086,0.726,0.038,0.226,0.377,0.163,0.222,0.097,0.007,0.134,0.096,Plains
21,Kentucky,all,0.219,0.19,0.25,0.067,,,0.375,0.336,0.418,0.055,,,0.406,0.368,0.439,0.045,,261.0,256.6,265.2,0.008,0.337,0.304,0.375,0.052,,0.35,0.309,0.392,0.06,,,0.313,0.273,0.346,0.059,,,247.0,242.3,251.5,0.01,4424376.0,3252175,0.493,0.507,0.873,0.08,0.034,0.013,0.002,0.001,0.031,0.148,0.331,0.521,0.191,0.01,0.021,0.006,0.036,0.183,0.285,0.161,0.645,0.048,0.302,0.333,0.165,0.235,0.092,0.004,0.171,0.079,Southeast
22,Louisiana,all,0.271,0.241,0.307,0.061,,,0.378,0.336,0.418,0.055,,,0.351,0.315,0.387,0.051,,251.5,246.0,256.5,0.011,0.416,0.383,0.452,0.043,,0.322,0.277,0.361,0.065,,,0.262,0.226,0.302,0.073,,,233.3,227.3,238.4,0.012,4663461.0,3406325,0.489,0.511,0.624,0.322,0.05,0.017,0.006,0.0,0.031,0.157,0.338,0.505,0.176,0.01,0.02,0.012,0.042,0.196,0.301,0.16,0.636,0.051,0.308,0.33,0.191,0.236,0.117,0.003,0.122,0.124,Southeast
23,Maine,all,0.134,0.1,0.169,0.125,,,0.363,0.312,0.41,0.068,,,0.503,0.46,0.551,0.045,,273.1,266.3,280.4,0.013,0.229,0.19,0.267,0.083,,0.384,0.334,0.434,0.065,,,0.387,0.338,0.437,0.063,,,260.0,252.6,267.9,0.015,1330158.0,1000325,0.489,0.511,0.946,0.013,0.015,0.011,0.006,0.0,0.023,0.079,0.323,0.598,0.087,0.007,0.014,0.015,0.036,0.129,0.221,0.153,0.717,0.041,0.239,0.367,0.182,0.232,0.106,0.001,0.112,0.09,New England
24,Maryland,all,0.2,0.169,0.235,0.082,,,0.312,0.272,0.354,0.067,,,0.488,0.45,0.524,0.038,,268.1,262.7,273.6,0.01,0.302,0.268,0.338,0.059,,0.31,0.266,0.354,0.072,,,0.388,0.347,0.43,0.053,,,254.5,248.7,260.7,0.012,5996079.0,4448530,0.485,0.515,0.566,0.297,0.096,0.062,0.003,0.0,0.071,0.102,0.251,0.647,0.178,0.025,0.083,0.041,0.149,0.097,0.158,0.109,0.724,0.048,0.22,0.452,0.169,0.217,0.077,0.006,0.079,0.073,Mideast
25,Massachusetts,all,0.173,0.139,0.21,0.101,,,0.292,0.243,0.341,0.084,,,0.536,0.489,0.582,0.042,,272.9,266.7,279.5,0.012,0.251,0.214,0.29,0.076,,0.301,0.252,0.349,0.082,,,0.448,0.4,0.495,0.052,,,260.8,253.6,267.9,0.014,6789319.0,5115815,0.485,0.515,0.789,0.074,0.112,0.063,0.002,0.0,0.072,0.097,0.247,0.656,0.195,0.033,0.079,0.05,0.162,0.111,0.174,0.123,0.731,0.048,0.22,0.454,0.175,0.216,0.067,0.001,0.086,0.03,New England
26,Michigan,all,0.176,0.151,0.199,0.069,,,0.334,0.301,0.368,0.051,,,0.49,0.46,0.522,0.032,,270.9,266.8,275.3,0.008,0.28,0.252,0.306,0.048,,0.333,0.297,0.369,0.054,,,0.387,0.354,0.423,0.044,,,256.0,251.4,260.7,0.009,9925568.0,7320030,0.492,0.508,0.787,0.138,0.049,0.029,0.005,0.0,0.04,0.098,0.293,0.61,0.159,0.014,0.032,0.019,0.066,0.156,0.245,0.149,0.672,0.055,0.272,0.357,0.177,0.23,0.078,0.0,0.157,0.072,Great Lakes
27,Minnesota,all,0.131,0.105,0.154,0.092,,,0.297,0.262,0.331,0.058,,,0.572,0.542,0.607,0.029,,278.8,274.6,283.3,0.008,0.204,0.175,0.228,0.066,,0.327,0.29,0.362,0.055,,,0.469,0.436,0.507,0.037,,,267.7,263.3,272.4,0.009,5490726.0,3995080,0.498,0.502,0.837,0.06,0.052,0.047,0.01,0.0,0.046,0.072,0.254,0.674,0.189,0.018,0.046,0.018,0.082,0.105,0.176,0.086,0.78,0.036,0.184,0.402,0.163,0.226,0.08,0.0,0.128,0.054,Plains
28,Mississippi,all,0.28,0.248,0.32,0.065,,,0.37,0.323,0.415,0.063,,,0.35,0.308,0.387,0.057,,251.7,245.6,256.9,0.011,0.434,0.397,0.477,0.047,,0.301,0.254,0.346,0.076,,,0.265,0.225,0.306,0.075,,,233.6,227.3,239.1,0.013,2986220.0,2162040,0.485,0.515,0.588,0.376,0.03,0.01,0.004,0.0,0.022,0.166,0.304,0.53,0.203,0.005,0.012,0.006,0.023,0.215,0.333,0.173,0.607,0.061,0.327,0.315,0.177,0.232,0.108,0.004,0.164,0.136,Southeast
29,Missouri,all,0.189,0.167,0.219,0.07,,,0.349,0.314,0.382,0.05,,,0.462,0.43,0.491,0.033,,266.0,261.8,269.9,0.008,0.291,0.266,0.321,0.048,,0.358,0.323,0.395,0.05,,,0.351,0.315,0.38,0.047,,,252.1,247.8,256.4,0.009,6075300.0,4432670,0.491,0.509,0.824,0.116,0.04,0.019,0.004,0.001,0.037,0.108,0.309,0.583,0.16,0.009,0.022,0.009,0.04,0.146,0.24,0.122,0.697,0.044,0.254,0.358,0.176,0.241,0.088,0.003,0.134,0.104,Plains
30,Montana,all,0.131,0.098,0.168,0.134,,,0.36,0.31,0.416,0.074,,,0.509,0.456,0.553,0.048,,272.8,266.5,278.6,0.011,0.227,0.191,0.267,0.086,,0.375,0.328,0.423,0.065,,,0.398,0.351,0.442,0.058,,,259.9,253.4,266.1,0.013,1029862.0,756335,0.503,0.497,0.89,0.004,0.036,0.007,0.065,0.001,0.033,0.07,0.293,0.637,0.073,0.005,0.008,0.008,0.021,0.144,0.241,0.102,0.714,0.037,0.244,0.365,0.189,0.223,0.124,0.003,0.096,0.117,Rocky Mountains
31,Nebraska,all,0.164,0.139,0.196,0.086,,,0.309,0.272,0.345,0.059,,,0.527,0.493,0.559,0.032,,271.5,265.7,276.6,0.01,0.243,0.215,0.276,0.062,,0.333,0.294,0.368,0.057,,,0.424,0.388,0.462,0.044,,,259.5,253.4,265.1,0.011,1893921.0,1348840,0.498,0.502,0.878,0.047,0.105,0.022,0.008,0.001,0.043,0.091,0.267,0.642,0.247,0.015,0.04,0.013,0.069,0.12,0.206,0.088,0.775,0.032,0.189,0.368,0.162,0.234,0.099,0.002,0.134,0.09,Plains
32,Nevada,all,0.253,0.211,0.295,0.085,,,0.354,0.298,0.417,0.086,,,0.394,0.336,0.445,0.071,,254.9,248.5,261.5,0.013,0.365,0.318,0.414,0.066,,0.337,0.281,0.393,0.085,,,0.298,0.246,0.348,0.088,,,239.6,232.7,246.7,0.015,2887725.0,2135100,0.502,0.498,0.671,0.088,0.282,0.081,0.011,0.007,0.143,0.142,0.283,0.575,0.203,0.021,0.104,0.07,0.195,0.142,0.242,0.123,0.68,0.06,0.256,0.284,0.269,0.255,0.087,0.002,0.102,0.14,Far West
33,New Hampshire,all,0.115,0.083,0.146,0.134,,,0.331,0.285,0.376,0.07,,,0.554,0.512,0.599,0.038,,278.9,272.4,285.6,0.012,0.191,0.154,0.227,0.093,,0.364,0.316,0.41,0.065,,,0.445,0.4,0.492,0.052,,,268.0,261.2,275.4,0.013,1331848.0,1012690,0.495,0.505,0.934,0.014,0.034,0.025,0.002,0.0,0.025,0.072,0.28,0.649,0.12,0.012,0.027,0.021,0.059,0.081,0.14,0.076,0.757,0.036,0.205,0.404,0.158,0.238,0.087,0.001,0.111,0.075,New England
34,New Jersey,all,0.207,0.181,0.238,0.068,,,0.321,0.285,0.356,0.056,,,0.473,0.439,0.505,0.035,,264.3,259.2,268.9,0.009,0.301,0.274,0.337,0.054,,0.331,0.29,0.368,0.059,,,0.368,0.332,0.404,0.048,,,249.7,243.9,254.7,0.011,8960161.0,6598690,0.488,0.512,0.679,0.135,0.197,0.094,0.002,0.0,0.09,0.108,0.279,0.612,0.203,0.033,0.116,0.072,0.221,0.107,0.173,0.092,0.706,0.054,0.239,0.417,0.165,0.241,0.071,0.001,0.105,0.097,Mideast
35,New Mexico,all,0.291,0.245,0.338,0.081,,,0.315,0.252,0.383,0.106,,,0.394,0.332,0.449,0.076,,251.5,243.6,259.5,0.016,0.395,0.346,0.447,0.065,,0.304,0.243,0.368,0.103,,,0.301,0.243,0.356,0.095,,,234.6,225.7,243.1,0.019,2084828.0,1509685,0.495,0.505,0.742,0.02,0.482,0.014,0.095,0.001,0.128,0.15,0.264,0.586,0.129,0.012,0.05,0.035,0.097,0.206,0.321,0.17,0.629,0.054,0.31,0.355,0.207,0.232,0.111,0.004,0.092,0.125,Southwest
36,New York,all,0.244,0.221,0.269,0.05,,,0.311,0.281,0.342,0.05,,,0.445,0.415,0.471,0.032,,259.7,256.0,263.2,0.007,0.347,0.322,0.376,0.04,,0.298,0.267,0.331,0.055,,,0.355,0.324,0.383,0.042,,,245.3,241.2,249.1,0.008,19798228.0,14748145,0.485,0.515,0.638,0.157,0.188,0.083,0.004,0.0,0.117,0.139,0.263,0.598,0.235,0.033,0.114,0.08,0.227,0.151,0.235,0.152,0.684,0.051,0.264,0.402,0.2,0.232,0.072,0.001,0.093,0.076,Mideast
37,North Carolina,all,0.213,0.188,0.233,0.053,,,0.329,0.3,0.359,0.045,,,0.459,0.433,0.486,0.029,,265.5,261.6,269.5,0.007,0.329,0.304,0.355,0.039,,0.318,0.288,0.35,0.049,,,0.353,0.322,0.381,0.041,,,249.1,244.5,253.2,0.009,10052564.0,7411595,0.487,0.513,0.69,0.215,0.091,0.027,0.012,0.001,0.056,0.131,0.261,0.608,0.22,0.014,0.048,0.017,0.078,0.161,0.265,0.137,0.666,0.053,0.266,0.365,0.171,0.228,0.094,0.011,0.131,0.121,Southeast
38,North Dakota,all,0.134,0.107,0.168,0.111,,,0.313,0.273,0.35,0.062,,,0.553,0.519,0.588,0.032,,275.9,270.0,281.3,0.01,0.21,0.18,0.244,0.076,,0.347,0.303,0.386,0.059,,,0.443,0.403,0.484,0.045,,,264.2,257.9,270.1,0.012,745475.0,541475,0.513,0.487,0.877,0.023,0.033,0.014,0.053,0.0,0.032,0.077,0.271,0.652,0.106,0.013,0.018,0.005,0.036,0.11,0.183,0.072,0.78,0.022,0.185,0.359,0.17,0.216,0.125,0.006,0.125,0.08,Plains
39,Ohio,all,0.177,0.149,0.203,0.075,,,0.365,0.328,0.401,0.051,,,0.457,0.427,0.493,0.036,,268.5,263.6,274.4,0.01,0.288,0.257,0.319,0.053,,0.36,0.319,0.397,0.054,,,0.352,0.318,0.392,0.053,,,253.7,248.6,259.9,0.011,11609756.0,8490330,0.49,0.51,0.819,0.123,0.036,0.02,0.002,0.0,0.036,0.102,0.336,0.562,0.148,0.01,0.021,0.012,0.043,0.149,0.236,0.142,0.697,0.049,0.252,0.361,0.172,0.233,0.075,0.001,0.158,0.074,Great Lakes
40,Oklahoma,all,0.201,0.173,0.237,0.08,,,0.362,0.318,0.403,0.058,,,0.437,0.4,0.473,0.042,,263.0,257.5,268.2,0.01,0.31,0.278,0.348,0.056,,0.362,0.318,0.402,0.06,,,0.329,0.289,0.367,0.059,,,247.3,241.1,252.7,0.012,3896251.0,2800905,0.496,0.504,0.726,0.073,0.101,0.021,0.074,0.001,0.105,0.125,0.315,0.56,0.205,0.012,0.033,0.014,0.059,0.162,0.27,0.134,0.666,0.042,0.285,0.339,0.173,0.237,0.114,0.006,0.132,0.149,Southwest
41,Oregon,all,0.168,0.136,0.202,0.097,,,0.284,0.237,0.327,0.08,,,0.548,0.508,0.591,0.038,,273.2,266.4,279.9,0.012,0.247,0.21,0.283,0.074,,0.307,0.26,0.352,0.074,,,0.446,0.402,0.491,0.05,,,260.4,253.4,267.6,0.014,4025127.0,2997670,0.495,0.505,0.849,0.019,0.127,0.041,0.011,0.004,0.076,0.098,0.234,0.668,0.198,0.015,0.054,0.03,0.099,0.149,0.243,0.178,0.686,0.051,0.261,0.381,0.182,0.23,0.089,0.001,0.118,0.088,Far West
42,Pennsylvania,all,0.181,0.157,0.202,0.063,,,0.375,0.341,0.408,0.045,,,0.444,0.416,0.476,0.034,,266.2,262.8,269.9,0.007,0.287,0.258,0.313,0.048,,0.376,0.34,0.41,0.047,,,0.337,0.308,0.372,0.049,,,252.4,248.5,256.6,0.008,12790505.0,9434820,0.489,0.511,0.811,0.111,0.068,0.033,0.002,0.0,0.043,0.101,0.356,0.543,0.181,0.014,0.033,0.019,0.066,0.131,0.212,0.13,0.696,0.049,0.254,0.378,0.173,0.233,0.082,0.0,0.133,0.071,Mideast
44,Rhode Island,all,0.204,0.167,0.239,0.088,,,0.322,0.271,0.373,0.08,,,0.474,0.426,0.521,0.05,,266.0,257.7,274.4,0.015,0.296,0.254,0.336,0.069,,0.321,0.267,0.372,0.082,,,0.383,0.33,0.434,0.068,,,252.8,244.0,261.6,0.017,1056138.0,794525,0.485,0.515,0.809,0.065,0.146,0.034,0.005,0.001,0.086,0.127,0.279,0.594,0.2,0.023,0.062,0.052,0.137,0.134,0.21,0.161,0.707,0.053,0.236,0.381,0.195,0.236,0.074,0.004,0.111,0.067,New England
45,South Carolina,all,0.224,0.194,0.249,0.063,,,0.352,0.314,0.386,0.05,,,0.424,0.395,0.461,0.039,,262.9,257.9,269.2,0.01,0.35,0.315,0.378,0.045,,0.327,0.287,0.366,0.059,,,0.323,0.29,0.366,0.058,,,246.4,241.2,252.6,0.012,4893444.0,3620280,0.486,0.514,0.673,0.272,0.055,0.015,0.003,0.001,0.037,0.135,0.294,0.571,0.204,0.009,0.028,0.012,0.049,0.166,0.27,0.14,0.657,0.053,0.28,0.335,0.179,0.241,0.091,0.008,0.146,0.121,Southeast
46,South Dakota,all,0.149,0.12,0.182,0.105,,,0.343,0.301,0.384,0.06,,,0.509,0.47,0.545,0.036,,271.1,265.2,276.5,0.01,0.237,0.204,0.271,0.071,,0.368,0.327,0.41,0.057,,,0.395,0.355,0.436,0.05,,,259.1,253.2,264.9,0.011,855444.0,606895,0.503,0.497,0.847,0.017,0.035,0.014,0.087,0.0,0.035,0.086,0.305,0.609,0.152,0.01,0.018,0.005,0.033,0.139,0.225,0.106,0.765,0.031,0.199,0.353,0.166,0.237,0.112,0.002,0.129,0.097,Plains
47,Tennessee,all,0.217,0.192,0.243,0.059,,,0.379,0.344,0.42,0.05,,,0.404,0.369,0.435,0.042,,260.1,255.7,264.4,0.008,0.34,0.312,0.373,0.045,,0.355,0.318,0.393,0.053,,,0.305,0.269,0.338,0.056,,,245.0,240.1,249.6,0.01,6597381.0,4862055,0.488,0.512,0.778,0.168,0.052,0.017,0.003,0.001,0.034,0.135,0.326,0.539,0.219,0.011,0.029,0.01,0.05,0.167,0.271,0.157,0.666,0.048,0.282,0.344,0.168,0.242,0.088,0.004,0.155,0.109,Southeast
48,Texas,all,0.282,0.256,0.308,0.047,,,0.318,0.286,0.352,0.052,,,0.4,0.372,0.427,0.036,,253.6,249.9,257.3,0.007,0.385,0.357,0.413,0.037,,0.306,0.273,0.338,0.054,,,0.309,0.282,0.336,0.046,,,238.0,234.0,242.0,0.008,27419612.0,19697715,0.497,0.503,0.746,0.12,0.389,0.045,0.005,0.001,0.083,0.172,0.251,0.577,0.217,0.027,0.091,0.05,0.169,0.16,0.264,0.127,0.68,0.043,0.272,0.358,0.174,0.238,0.108,0.004,0.118,0.182,Southwest
49,Utah,all,0.145,0.114,0.181,0.115,,,0.308,0.26,0.36,0.08,,,0.547,0.497,0.588,0.042,,273.9,267.2,279.7,0.012,0.223,0.19,0.265,0.085,,0.333,0.288,0.379,0.071,,,0.444,0.396,0.484,0.051,,,261.5,254.4,267.8,0.013,2993941.0,2053185,0.503,0.497,0.868,0.011,0.137,0.023,0.011,0.009,0.078,0.082,0.228,0.689,0.161,0.014,0.049,0.02,0.083,0.11,0.195,0.077,0.724,0.034,0.24,0.377,0.152,0.257,0.088,0.001,0.124,0.108,Rocky Mountains
